table_jqueryadminmenu;Jqueryadminmenu
jqueryadminmenu.cod;Cod
jqueryadminmenu.codmenu;Codmenu
jqueryadminmenu.titulo;Titulo
jqueryadminmenu.patch;Patch
jqueryadminmenu.icon;Icon
jqueryadminmenu.addhtml;Addhtml
jqueryadminmenu.ordem;Ordem
