table_jqueryadminuser;Jqueryadminuser
jqueryadminuser.cod;Cod
jqueryadminuser.nome;Nome
jqueryadminuser.mail;Mail
jqueryadminuser.senha;Senha
jqueryadminuser.grupo;Grupo
