table_equiz;Quiz
equiz.cod;Cod
equiz.usuario;Usuário
equiz.seo;Seo
equiz.titulo;Título
equiz.data;Data
equiz.imagem;Imagem
equiz.flaprovado;Aprovado
equiz.votos;Votos
