table_ealternativa;Ealternativa
ealternativa.cod;Cod
ealternativa.quiz;Quiz
ealternativa.pergunta;Pergunta
ealternativa.descricao;Descricao
ealternativa.imagem;Imagem
ealternativa.ordem;Ordem
