table_jqueryimagelistitem;Jqueryimagelistitem
jqueryimagelistitem.cod;Cod
jqueryimagelistitem.jqueryimagelist;Jqueryimagelist
jqueryimagelistitem.jqueryimage;Jqueryimage
jqueryimagelistitem.titulo;Titulo
jqueryimagelistitem.link;Link
jqueryimagelistitem.target;Target
jqueryimagelistitem.descricao;Descricao
jqueryimagelistitem.ordem;Ordem
jqueryimagelistitem.principal;Principal
